Diagnosis,Number,
7289,14,"7289  = ""7289 : MUSCLE/LIGAMENT DIS NOS"""
38861,14,"38861 = ""38861: CEREBROSP FLUID OTORRHEA"""
37636,14,"37636 = ""37636: LATERAL GLOBE DISPLACMNT"""
64893,14,"64893 = ""64893: OTH CURR COND-ANTEPARTUM"""
4871,14,"4871  = ""4871 : FLU W RESP MANIFEST NEC"""
47832,14,"47832 = ""47832: VOCAL PARAL UNILAT TOTAL"""
74300,14,"74300 = ""74300: CLINIC ANOPHTHALMOS NOS"""
36901,14,"36901 = ""36901: TOT IMPAIRMENT-BOTH EYES"""
80122,14,"80122 = ""80122: CL SKUL BASE FX/BRF COMA"""
3101,14,"3101  = ""3101 : ORGANIC PERSONALITY SYND"""
V1003,14,#N/A
36651,14,"36651 = ""36651: SOEMMERING-S RING"""
34461,14,"34461 = ""34461: NEUROGENIC BLADDER"""
71106,14,"71106 = ""71106: PYOGEN ARTHRITIS-L/LEG"""
V1044,14,#N/A
1748,14,"1748  = ""1748 : MALIGN NEOPL BREAST NEC"""
36840,13,"36840 = ""36840: VISUAL FIELD DEFECT NOS"""
44421,13,"44421 = ""44421: UPPER EXTREMITY EMBOLISM"""
V175,13,#N/A
59080,13,"59080 = ""59080: PYELONEPHRITIS NOS"""
49322,13,"49322 = ""49322: CH OB ASTHMA W/ACUTE EXACERBATION (Begin 2000)"""
V8801,13,#N/A
87353,13,#N/A
86405,13,#N/A
8738,13,#N/A
37640,13,"37640 = ""37640: DEFORMITY OF ORBIT NOS"""
78901,13,"78901 = ""78901: ABDOM PAIN RUQ (Begin 1994)"""
8074,13,#N/A
73017,13,"73017 = ""73017: CHR OSTEOMYELIT-ANKLE"""
4376,13,"4376  = ""4376 : NONPYOGEN THROMBOS SINUS"""
193,13,"193   = ""193  : MALIGN NEOPL THYROID"""
48242,13,"48242 = ""48242: METH RES PNEU D/T STAPH (Begin 2008)"""
5227,13,"5227  = ""5227 : PERIAPICAL ABSC W SINUS"""
E999,13,#N/A
82300,13,#N/A
2250,13,"2250  = ""2250 : BENIGN NEOPLASM BRAIN"""
81400,13,#N/A
E9330,13,#N/A
2860,13,"2860  = ""2860 : CONG FACTOR VIII DIORD"""
5531,13,"5531  = ""5531 : UMBILICAL HERNIA"""
92411,13,#N/A
9989,13,#N/A
1601,13,"01601 = ""01601: TB OF KIDNEY-NO EXAM"""
80223,13,"80223 = ""80223: FX CORON PROC MANDIB-CL"""
7827,13,"7827  = ""7827 : SPONTANEOUS ECCHYMOSES"""
3249,13,"3249  = ""3249 : CNS ABSCESS NOS"""
7564,13,"7564  = ""7564 : CHONDRODYSTROPHY"""
4371,13,"4371  = ""4371 : AC CEREBROVASC INSUF NOS"""
36621,13,"36621 = ""36621: LOCAL TRAUMATIC OPACITY"""
36623,13,"36623 = ""36623: PART RESOLV TRAUM CATAR"""
605,13,"605   = ""605  : REDUN PREPUCE & PHIMOSIS"""
1190,13,"01190 = ""01190: PULMONARY TB NOS-UNSPEC"""
85221,13,#N/A
5370,13,"5370  = ""5370 : ACQ PYLORIC STENOSIS"""
E9394,13,#N/A
80110,13,"80110 = ""80110: CL SKL BASE FX/CEREB LAC"""
87361,13,#N/A
73381,13,"73381 = ""73381: MALUNION OF FRACTURE"""
V427,13,#N/A
9180,13,#N/A
V167,13,#N/A
1622,13,"01622 = ""01622: TB OF URETER-EXAM UNKN"""
72886,13,"72886 = ""72886: NECROTIZING FASCIITIS (Begin 1995)"""
53089,13,"53089 = ""53089: OTH SPEC DISORDER ESOPHAGUS (Begin 1993)"""
74366,13,"74366 = ""74366: SPEC ANOMALY OF ORBIT"""
E9198,13,#N/A
V446,13,#N/A
82100,13,#N/A
56941,13,"56941 = ""56941: RECTAL & ANAL ULCER"""
1431,13,"1431  = ""1431 : MALIG NEO LOWER GUM"""
1439,13,"1439  = ""1439 : MALIG NEO GUM NOS"""
E9442,13,#N/A
29560,13,"29560 = ""29560: RESID SCHIZOPHREN-UNSP"""
36552,13,"36552 = ""36552: PSEUDOEXFOLIAT GLAUCOMA"""
9330,13,#N/A
40311,13,"40311 = ""40311: BEN HYP RENAL W REN FAIL (Begin 1989)"""
25083,13,"25083 = ""25083: DIAB W MANIF NEC TYPE I DM UNCONT (Begin 1993)"""
7811,13,"07811 = ""07811: CONDYLOMA ACCUMINATUM (Begin 1993)"""
56081,13,"56081 = ""56081: INTESTINAL ADHES W OBSTR"""
2411,13,"2411  = ""2411 : NONTOX MULTINODUL GOITER"""
73314,13,"73314 = ""73314: PATH FX-FEMUR NECK (Begin 1993)"""
37714,13,"37714 = ""37714: CUPPING OF OPTIC DISC"""
1908,13,"1908  = ""1908 : MALIGN NEOPL EYE NEC"""
7598,13,"7598  = ""7598 : CONGENITAL ANOMALIES NEC (Begin 1980"
56989,13,"56989 = ""56989: INTESTINAL DISORDERS NEC"""
74341,13,"74341 = ""74341: ANOM CORNEAL SIZE/SHAPE"""
37264,13,"37264 = ""37264: SCARRING OF CONJUNCTIVA"""
71591,13,"71591 = ""71591: OSTEOARTHROS NOS-SHLDER"""
5369,13,"5369  = ""5369 : STOMACH FUNCTION DIS NOS"""
34400,13,"34400 = ""34400: QUADRIPLEGIA- NOS (Begin 1994)"""
2107,13,"2107  = ""2107 : BENIGN NEO NASOPHARYNX"""
E8122,13,#N/A
V4572,12,#N/A
V1241,12,#N/A
36131,12,"36131 = ""36131: ROUND HOLE OF RETINA"""
84500,12,#N/A
44489,12,"44489 = ""44489: ARTERIAL EMBOLISM NEC"""
3451,12,"3451  = ""3451 : GEN CONVULSIVE EPILEPSY (Begin 1980"
1307,12,"1307  = ""1307 : TOXOPLASMOSIS SITE NEC"""
2572,12,"2572  = ""2572 : TESTICULAR HYPOFUNC NEC"""
7103,12,"7103  = ""7103 : DERMATOMYOSITIS"""
86803,12,#N/A
4846,12,"4846  = ""4846 : PNEUM IN ASPERGILLOSIS"""
37900,12,"37900 = ""37900: SCLERITIS NOS"""
V632,12,#N/A
E9299,12,#N/A
37905,12,"37905 = ""37905: SCLERITIS W CORNEA INVOL"""
2864,12,"2864  = ""2864 : VON WILLEBRAND-s DISEASE"""
81344,12,#N/A
4828,12,"4828  = ""4828 : BACTERIAL PNEUMONIA NEC (Begin 1980"
9984,12,#N/A
99881,12,#N/A
37682,12,"37682 = ""37682: EXTRAOCUL MUSCL MYOPATHY"""
2849,12,"2849  = ""2849 : APLASTIC ANEMIA NOS"""
30551,12,"30551 = ""30551: OPIOID ABUSE-CONTINUOUS"""
76523,12,"76523 = ""76523: 25-26 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
2150,12,"2150  = ""2150 : BEN NEO SOFT TISSUE HEAD"""
4372,12,"4372  = ""4372 : HYPERTENS ENCEPHALOPATHY"""
29411,12,"29411 = ""29411: DEMENTIA IN OTH DISEASES WBEHAVIORAL OCT00-"""
86101,12,#N/A
4553,12,"4553  = ""4553 : EXT HEMORRHOID W/O COMPL"""
5355,12,"5355  = ""5355 : GASTRITIS/DUODENITIS NOS (Begin 1980"
90089,12,#N/A
74356,12,"74356 = ""74356: CONG RETINAL CHANGES NEC"""
9590,12,#N/A
3540,12,"3540  = ""3540 : CARPAL TUNNEL SYNDROME"""
4333,12,"4333  = ""4333 : MULT PRECEREB OCCLUSION (End 1993)"""
25012,12,"25012 = ""25012: DIAB KETOACID TYPE I DM UNCONT (Begin 1993)"""
7381,12,"7381  = ""7381 : ACQ HEAD DEFORMITY NEC (Begin 1980"
20400,12,"20400 = ""20400: ACT LYM LEUK W/O RMSION (Begin 1991)"""
E8136,12,#N/A
2537,12,"2537  = ""2537 : IATROGENIC PITUITARY DIS"""
V126,12,#N/A
V122,12,#N/A
9086,12,#N/A
2929,12,"2929  = ""2929 : DRUG MENTAL DISORDER NOS"""
80112,12,"80112 = ""80112: CL SKUL BASE FX-BRF COMA"""
87364,12,#N/A
E969,12,#N/A
22803,12,"22803 = ""22803: HEMANGIOMA RETINA"""
V421,12,#N/A
55320,12,"55320 = ""55320: VENTRAL HERNIA NOS"""
52802,12,"52802 = ""52802: MUCOSITIS D/T DRUGS NEC (Begin 2006)"""
36313,12,"36313 = ""36313: GEN DISSEM CHOROIDITIS"""
7200,12,"7200  = ""7200 : ANKYLOSING SPONDYLITIS"""
8709,12,#N/A
36816,12,"36816 = ""36816: PSYCHOPHYSIC VISUAL DIST"""
73027,12,"73027 = ""73027: OSTEOMYELITIS NOS-ANKLE"""
3019,12,"3019  = ""3019 : PERSONALITY DISORDER NOS"""
V4972,12,#N/A
4400,12,"4400  = ""4400 : AORTIC ATHEROSCLEROSIS"""
4402,12,"4402  = ""4402 : ATHEROSCLEROS-EXTREMITY (Begin 1980"
78341,12,"78341 = ""78341: FAILURE TO THRIVE (Begin 2000)"""
V078,12,#N/A
1730,12,"01730 = ""01730: TB OF EYE-UNSPEC"""
1736,12,"01736 = ""01736: TB OF EYE-OTH TEST"""
E9426,12,#N/A
78550,12,"78550 = ""78550: SHOCK NOS"""
1418,12,"1418  = ""1418 : MALIG NEO TONGUE NEC"""
37911,12,"37911 = ""37911: SCLERAL ECTASIA"""
87200,12,#N/A
1732,12,"01732 = ""01732: TB OF EYE-EXAM UNKN"""
36514,12,"36514 = ""36514: GLAUCOMA OF CHILDHOOD"""
72610,12,"72610 = ""72610: ROTATOR CUFF SYND NOS"""
37035,12,"37035 = ""37035: NEUROTROPH KERATOCONJUNC"""
20190,12,"20190 = ""20190: HODGKINS DIS NOS UNSPEC"""
1370,12,"1370  = ""1370 : LATE EFFECT TB- RESP/NOS"""
36232,12,"36232 = ""36232: ARTERIAL BRANCH OCCLUS"""
3824,12,"3824  = ""3824 : SUPPUR OTITIS MEDIA NOS"""
80001,12,"80001 = ""80001: CL SKULL VLT FX W/O COMA"""
9999,12,#N/A
37220,12,"37220 = ""37220: BLEPHAROCONJUNCTIVIT NOS"""
80704,12,#N/A
V0261,12,#N/A
36631,12,"36631 = ""36631: GLAUCOMATOUS FLECKS"""
30490,12,"30490 = ""30490: DRUG DEPEND NOS-UNSPEC"""
70409,12,"70409 = ""70409: ALOPECIA NEC"""
30723,12,"30723 = ""30723: GILLES TOURETTE DISORDER"""
2161,12,"2161  = ""2161 : BENIGN NEO SKIN EYELID"""
8242,12,#N/A
8240,12,"08240 = ""08240: EHRLICHIOSIS- UNSPECIFIED (Begin 2000)"""
8244,12,#N/A
74349,12,"74349 = ""74349: ANOM ANTER SEG NEC-EYE"""
34460,12,"34460 = ""34460: CAUDA EQUINA SYND NOS"""
3449,12,"3449  = ""3449 : PARALYSIS NOS"""
E9650,12,#N/A
53100,12,"53100 = ""53100: AC STOMACH ULCER W HEM"""
5178,12,"5178  = ""5178 : LUNG INVOLV IN OTH DIS"""
36477,12,"36477 = ""36477: RECESSION- CHAMBER ANGLE"""
99676,12,#N/A
383,12,"0383  = ""0383 : ANAEROBIC SEPTICEMIA"""
36459,12,"36459 = ""36459: IRIS ATROPHY NEC"""
71530,11,"71530 = ""71530: LOC OSTEOARTH NOS-UNSPEC"""
34550,11,"34550 = ""34550: PART EPIL W/O INTR EPIL (Begin 1989)"""
49391,11,"49391 = ""49391: ASTHMA W/ STATUS ASTHMAT"""
4599,11,"4599  = ""4599 : CIRCULATORY DISEASE NOS"""
4721,11,"4721  = ""4721 : CHRONIC PHARYNGITIS"""
20081,11,"20081 = ""20081: MIXED LYMPHOSARC HEAD"""
7211,11,"7211  = ""7211 : CERV SPONDYL W MYELOPATH"""
3689,11,"03689 = ""03689: MENINGOCOCCAL INFECT NEC"""
V6406,11,#N/A
36582,11,"36582 = ""36582: GLAUC W INC EPISCL PRESS"""
8731,11,#N/A
1723,11,"01723 = ""01723: TB PERIPH LYMPH-MICRO DX"""
36061,11,"36061 = ""36061: FB IN ANTERIOR CHAMBER"""
38589,11,"38589 = ""38589: DIS MID EAR/MASTOID NEC"""
V670,11,#N/A
36544,11,"36544 = ""36544: GLAUCOMA W SYSTEMIC SYND"""
42090,11,"42090 = ""42090: ACUTE PERICARDITIS NOS"""
36190,11,#N/A
6945,11,"6945  = ""6945 : PEMPHIGOID"""
1369,11,"1369  = ""1369 : INFECT/PARASITE DIS NOS"""
85186,11,#N/A
48230,11,"48230 = ""48230: STREP PNEUMONIA UNSPEC (Begin 1992)"""
V1507,11,#N/A
56212,11,"56212 = ""56212: DVRTCLO COLON W HMRHG (Begin 1991)"""
86509,11,#N/A
51901,11,"51901 = ""51901: TRACHEOST INFECTN (Begin 1998)"""
29650,11,"29650 = ""29650: BIPOLAR AFF/ DEPR-UNSPEC"""
5934,11,"5934  = ""5934 : URETERIC OBSTRUCTION NEC"""
53789,11,"53789 = ""53789: GASTRODUODENAL DIS NEC"""
4558,11,"4558  = ""4558 : HEMRRHOID NOS W COMP NEC"""
80501,11,#N/A
80507,11,#N/A
37873,11,"37873 = ""37873: NEUROMUSCLE DIS STRABISM"""
81220,11,#N/A
4940,11,"4940  = ""4940 : BRONCHIECTASIS W/O ACUTE EXACERBATN (Begin 2000)"""
8250,11,#N/A
V0980,11,#N/A
59970,11,"59970 = ""59970: HEMATURIA NOS (Begin 2008)"""
85220,11,#N/A
9598,11,#N/A
7422,11,"07422 = ""07422: COXSACKIE ENDOCARDITIS"""
36402,11,"36402 = ""36402: RECURRENT IRIDOCYCLITIS"""
59389,11,"59389 = ""59389: RENAL & URETERAL DIS NEC"""
V5413,11,#N/A
80136,11,"80136 = ""80136: CL SKUL BASE FX-COMA NOS"""
80130,11,"80130 = ""80130: CL SKULL BASE FX/HEM NEC"""
V171,11,#N/A
7883,11,"7883  = ""7883 : INCONTINENCE OF URINE (Begin 1980"
1550,11,"01550 = ""01550: TB OF LIMB BONES-UNSPEC"""
7220,11,"7220  = ""7220 : CERVICAL DISC DISPLACMNT"""
7226,11,"7226  = ""7226 : DISC DEGENERATION NOS"""
2521,11,"2521  = ""2521 : HYPOPARATHYROIDISM"""
9571,11,#N/A
78340,11,"78340 = ""78340: LACK NORM PHYSIOL DEVELOP UNSPEC (Begin 2000)"""
86601,11,#N/A
1454,11,"1454  = ""1454 : MALIGNANT NEOPLASM UVULA"""
E9221,11,#N/A
6910,11,"6910  = ""6910 : DIAPER OR NAPKIN RASH"""
V8523,11,#N/A
2830,11,"2830  = ""2830 : AUTOIMMUN HEMOLYTIC ANEM"""
4266,11,"4266  = ""4266 : OTHER HEART BLOCK"""
2793,11,"2793  = ""2793 : IMMUNITY DEFICIENCY NOS"""
36515,11,"36515 = ""36515: RESIDUAL OPN ANG GLAUCMA"""
29010,11,"29010 = ""29010: PRESENILE DEMENTIA"""
6951,11,"6951  = ""6951 : ERYTHEMA MULTIFORME (end 2008)"""
6953,11,"6953  = ""6953 : ROSACEA"""
6954,11,"6954  = ""6954 : LUPUS ERYTHEMATOSUS"""
80236,11,"80236 = ""80236: FX SYMPHY MANDIB BDY-OPN"""
3210,11,"3210  = ""3210 : CRYPTOCOCCAL MENINGITIS"""
92300,11,#N/A
37956,11,"37956 = ""37956: NYSTAGMUS NEC"""
7859,11,"7859  = ""7859 : CARDIOVAS SYS SYMP NEC"""
V4586,11,#N/A
5298,11,"5298  = ""5298 : TONGUE DISORDER NEC"""
80006,11,"80006 = ""80006: CL SKULL VLT FX-COMA NOS"""
7333,11,"7333  = ""7333 : HYPEROSTOSIS OF SKULL"""
36964,11,"36964 = ""36964: ONE EYE-NEAR TOT/OTH-NOS"""
3812,11,"03812 = ""03812: MRSA SEPTICEMIA (Begin 2008)"""
5711,11,"5711  = ""5711 : ACUTE ALCOHOL HEPATITIS"""
36632,11,"36632 = ""36632: CATARACT IN INFLAM DIS"""
47874,11,"47874 = ""47874: STENOSIS OF LARYNX"""
3102,11,"3102  = ""3102 : POSTCONCUSSION SYNDROME"""
V1004,11,#N/A
20001,11,"20001 = ""20001: RETICULOSARCOMA HEAD"""
5968,11,"5968  = ""5968 : BLADDER DISORDER NEC"""
5964,11,"5964  = ""5964 : ATONY OF BLADDER"""
37263,11,"37263 = ""37263: SYMBLEPHARON"""
2102,11,"2102  = ""2102 : BEN NEO MAJOR SALIVARY"""
69289,11,"69289 = ""69289: DERMATITIS NEC"""
36081,11,"36081 = ""36081: LUXATION OF GLOBE"""
1509,11,"1509  = ""1509 : MAL NEO ESOPHAGUS NOS"""
V1369,10,#N/A
45111,10,"45111 = ""45111: FEMORAL VEIN PHLEBITIS"""
81500,10,#N/A
5848,10,"5848  = ""5848 : AC RENAL FAILURE NEC"""
36300,10,"36300 = ""36300: FOCAL CHORIORETINIT NOS"""
59010,10,"59010 = ""59010: AC PYELONEPHRITIS NOS"""
2689,10,"2689  = ""2689 : VITAMIN D DEFICIENCY NOS"""
2722,10,"2722  = ""2722 : MIXED HYPERLIPIDEMIA"""
87350,10,#N/A
2729,10,"2729  = ""2729 : LIPOID METABOL DIS NOS"""
34989,10,"34989 = ""34989: CNS DISORDER NEC"""
80146,10,"80146 = ""80146: CL SKUL BASE FX-COMA NOS"""
2708,10,"2708  = ""2708 : DIS AMINO-ACID METAB NEC"""
37887,10,"37887 = ""37887: SKEW DEVIATION- EYE"""
8072,10,#N/A
48240,10,"48240 = ""48240: STAPH PNEUMONIA UNSP (Begin 1998)"""
3591,10,"3591  = ""3591 : HERED PROG MUSC DYSTRPHY"""
71695,10,"71695 = ""71695: ARTHROPATHY NOS-PELVIS"""
5479,10,"05479 = ""05479: H SIMPLEX COMPLICAT NEC"""
36243,10,"36243 = ""36243: HEM DETACH PIGMNT EPITH"""
1403,10,"01403 = ""01403: TB PERITONITIS-MICRO DX"""
5793,10,"5793  = ""5793 : INTEST POSTOP NONABSORB"""
V1204,10,#N/A
78053,10,"78053 = ""78053: HYPERSOMNI W SLEEP APNEA"""
85300,10,#N/A
V3001,10,#N/A
30523,10,"30523 = ""30523: CANNABIS ABUSE-IN REMISS"""
4259,10,"4259  = ""4259 : SECOND CARDIOMYOPATH NOS"""
96509,10,#N/A
25093,10,"25093 = ""25093: DIAB W COMPL NOS TYPE I DM UNCONT (Begin 1993)"""
20000,10,"20000 = ""20000: RETICULOSARCOMA UNSPEC"""
37210,10,"37210 = ""37210: CHR CONJUNCTIVITIS NOS"""
28249,10,"28249 = ""28249: OTHER THALASSEMIA (Begin 2003)"""
E9379,10,#N/A
43490,10,"43490 = ""43490: CEREBR ART OCCLUS NOS W/O INFARCT (Begin 1993)"""
53170,10,"53170 = ""53170: CHR STOMACH ULCER NOS"""
3241,10,"3241  = ""3241 : INTRASPINAL ABSCESS"""
36604,10,"36604 = ""36604: NUCLEAR CATARACT"""
E8151,10,#N/A
7808,10,"7808  = ""7808 : HYPERHIDROSIS"""
2392,10,"2392  = ""2392 : BONE/SKIN NEOPLASM NOS"""
73301,10,"73301 = ""73301: SENILE OSTEOPOROSIS"""
74336,10,"74336 = ""74336: ANOMALIES OF LENS SHAPE"""
85226,10,#N/A
37856,10,"37856 = ""37856: TOTAL OPHTHALMOPLEGIA"""
81201,10,#N/A
39891,10,"39891 = ""39891: RHEUMATIC HEART FAILURE"""
99663,10,#N/A
5950,10,"5950  = ""5950 : ACUTE CYSTITIS"""
68110,10,"68110 = ""68110: CELLULITIS- TOE NOS"""
V143,10,#N/A
684,10,"684   = ""684  : IMPETIGO"""
4281,10,"4281  = ""4281 : LEFT HEART FAILURE"""
80176,10,"80176 = ""80176: OPN SKL BASE FX-COMA NOS"""
37993,10,"37993 = ""37993: REDNESS/DISCHARGE OF EYE"""
3201,10,"3201  = ""3201 : PNEUMOCOCCAL MENINGITIS"""
74900,10,"74900 = ""74900: CLEFT PALATE NOS"""
E9391,10,#N/A
37951,10,"37951 = ""37951: CONGENITAL NYSTAGMUS"""
4401,10,"4401  = ""4401 : RENAL ARTERY ATHEROSCLER"""
2890,10,"2890  = ""2890 : SECONDARY POLYCYTHEMIA"""
2893,10,"2893  = ""2893 : LYMPHADENITIS NOS"""
E9220,10,#N/A
E9228,10,#N/A
7746,10,"7746  = ""7746 : FETAL/NEONATAL JAUND NOS"""
7919,10,"7919  = ""7919 : ABN URINE FINDINGS NEC"""
2750,10,"2750  = ""2750 : DIS IRON METABOLISM"""
7721,10,"7721  = ""7721 : NB INTRAVENTRICULAR HEM (End 2001)"""
36257,10,"36257 = ""36257: DRUSEN (DEGENERATIVE)"""
30591,10,"30591 = ""30591: DRUG ABUSE NEC-CONTIN"""
64891,10,"64891 = ""64891: OTH CURR COND-DELIVERED"""
V017,10,#N/A
80238,10,"80238 = ""80238: FX MANDIBLE BODY NEC-OPN"""
37543,10,"37543 = ""37543: LACRIMAL MUCOCELE"""
3238,10,"3238  = ""3238 : ENCEPHALITIS NEC"""
81601,10,#N/A
E9301,10,#N/A
V442,10,#N/A
5921,10,"05921 = ""05921: TANAPOX (Begin 2008)"""
80026,10,"80026 = ""80026: CL SKULL VLT FX-COMA NOS"""
7038,10,"7038  = ""7038 : DISEASES OF NAIL NEC"""
37502,10,"37502 = ""37502: CHRONIC DACRYOADENITIS"""
37501,10,"37501 = ""37501: ACUTE DACRYOADENITIS"""
2141,10,"2141  = ""2141 : LIPOMA SKIN NEC"""
5321,10,"05321 = ""05321: H ZOSTER KERATOCONJUNCT"""
5320,10,"05320 = ""05320: HERPES ZOSTER OF EYELID"""
36633,10,"36633 = ""36633: CATARACT W NEOVASCULIZAT"""
78839,10,"78839 = ""78839: URINARY INCONTIN NEC (Begin 1992)"""
73311,10,"73311 = ""73311: PATH FX-HUMERUS (Begin 1993)"""
4568,10,"4568  = ""4568 : VARICES OF OTHER SITES"""
25200,10,"25200 = ""25200: HYPERPARATHYROIDISM NOS (Begin 2004)"""
47411,10,"47411 = ""47411: HYPERTROPHY TONSILS"""
37863,10,"37863 = ""37863: MECH STRAB W OTH CONDITN"""
1902,10,"1902  = ""1902 : MAL NEO LACRIMAL GLAND"""
8798,10,#N/A
V2130,10,#N/A
E9068,10,#N/A
74365,10,"74365 = ""74365: SPEC LACRIMAL PASS ANOM"""
4329,10,"4329  = ""4329 : INTRACRANIAL HEMORR NOS"""
8751,10,#N/A
V6284,10,#N/A
52460,9,"52460 = ""52460: TMJ DISORDERS NOS (Begin 1991)"""
87100,9,#N/A
8911,9,#N/A
29592,9,"29592 = ""29592: SCHIZOPHRENIA NOS-CHR"""
7234,9,"7234  = ""7234 : BRACHIAL NEURITIS NOS"""
36583,9,"36583 = ""36583: AQUEOUS MISDIRECTION (Begin 2002)"""
53561,9,"53561 = ""53561: DUODENITIS W HMRHG (Begin 1991)"""
69010,9,"69010 = ""69010: SEBORR DERMATITIS NOS (Begin 1995)"""
53230,9,"53230 = ""53230: ACUTE DUODENAL ULCER NOS"""
37431,9,"37431 = ""37431: PARALYTIC PTOSIS"""
5249,9,"5249  = ""5249 : DENTOFACIAL ANOMALY NOS"""
5244,9,"5244  = ""5244 : MALOCCLUSION NOS"""
5650,9,"5650  = ""5650 : ANAL FISSURE"""
V654,9,#N/A
82111,9,#N/A
7755,9,"7755  = ""7755 : NEONATAL DEHYDRATION"""
34931,9,"34931 = ""34931: ACCID PUNC/OP LAC DURA (Begin 2008)"""
invl,9,#N/A
42650,9,"42650 = ""42650: BUNDLE BRANCH BLOCK NOS"""
38200,9,"38200 = ""38200: AC SUPP OTITIS MEDIA NOS"""
7920,9,"7920  = ""7920 : ABN FND-CEREBROSPINAL FL"""
77081,9,"77081 = ""77081: PRIMARY APNEA OF NEWBORN (Begin 2002)"""
71906,9,"71906 = ""71906: JOINT EFFUSION-L/LEG"""
81323,9,#N/A
V573,9,#N/A
85180,9,#N/A
70719,9,"70719 = ""70719: ULCER OF OTHER PART OF LOWER LIMB (Begin 2000)"""
70714,9,"70714 = ""70714: ULCER OF HEEL & MIDFOOT (Begin 2000)"""
3203,9,"3203  = ""3203 : STAPHYLOCOCC MENINGITIS"""
556,9,"556   = ""556  : IDIOPATHIC PROCTOCOLITIS (End 1994)"""
79001,9,"79001 = ""79001: PRECIPITOUS DROP IN HEMATOCRIT (Begin 2000)"""
78842,9,"78842 = ""78842: POLYURIA (Begin 1993)"""
78843,9,"78843 = ""78843: NOCTURIA (Begin 1993)"""
86500,9,#N/A
30502,9,"30502 = ""30502: ALCOHOL ABUSE-EPISODIC"""
29632,9,"29632 = ""29632: RECURR DEPR PSYCHOS-MOD"""
4512,9,"04512 = ""04512: PARAL POLIO NEC-TYPE 2"""
47825,9,"47825 = ""47825: EDEMA PHARYNX/NASOPHARYX"""
76522,9,"76522 = ""76522: 24 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
1483,9,"01483 = ""01483: INTESTIN TB NEC-MICRO DX"""
E9359,9,#N/A
2808,9,"2808  = ""2808 : IRON DEFIC ANEMIA NEC"""
2390,9,"2390  = ""2390 : DIGESTIVE NEOPLASM NOS"""
5120,9,"5120  = ""5120 : SPONT TENS PNEUMOTHORAX"""
4552,9,"4552  = ""4552 : INT HEMRRHOID W COMP NEC"""
1912,9,"1912  = ""1912 : MAL NEO TEMPORAL LOBE"""
5163,9,"5163  = ""5163 : IDIO FIBROS ALVEOLITIS"""
9694,9,#N/A
3897,9,"3897  = ""3897 : DEAF MUTISM NEC"""
25010,9,"25010 = ""25010: DIAB KETOACIDOSIS TYP II"""
57149,9,"57149 = ""57149: CHRONIC HEPATITIS NEC"""
83100,9,#N/A
1512,9,"01512 = ""01512: TB OF HIP-EXAM UNKN"""
9083,9,#N/A
42822,9,"42822 = ""42822: CHRONIC SYSTOLIC HEART FAILURE (Begin 2002)"""
3508,9,"3508  = ""3508 : TRIGEMINAL NERVE DIS NEC"""
81241,9,#N/A
5852,9,"5852  = ""5852 : CHRO KIDNEY DIS STAGE II (Begin 2005)"""
9222,9,#N/A
869,9,"00869 = ""00869: ENTERITIS NOS (Begin 1992)"""
2698,9,"2698  = ""2698 : NUTRITION DEFICIENCY NEC"""
73020,9,"73020 = ""73020: OSTEOMYELITIS NOS-UNSPEC"""
45621,9,"45621 = ""45621: ESOPH VARICE OTH DIS NOS"""
9951,9,"09951 = ""09951: CHLAMYDIA-PHARYNX (Begin 1992)"""
9950,9,"09950 = ""09950: CHLAMYDIA-UNSPEC SITE (Begin 1992)"""
2520,9,"2520  = ""2520 : HYPERPARATHYROIDISM (End 2004)"""
34292,9,"34292 = ""34292: UNSPEC HEMIPLEGIA- NONDOMINANT SIDE (Begin 1994)"""
34291,9,"34291 = ""34291: UNSPEC HEMIPLEGIA- DOMINANT SIDE (Begin 1994)"""
7481,9,"7481  = ""7481 : NOSE ANOMALY NEC"""
79093,9,"79093 = ""79093: ELEVATED PSA (Begin 1993)"""
82332,9,#N/A
9120,9,#N/A
3949,9,"3949  = ""3949 : MITRAL VALVE DIS NEC/NOS"""
E9269,9,#N/A
38911,9,"38911 = ""38911: SENSORY HEARING LOSS"""
56949,9,"56949 = ""56949: RECTAL & ANAL DIS NEC"""
37912,9,"37912 = ""37912: STAPHYLOMA POSTICUM"""
E9465,9,#N/A
V625,9,#N/A
36042,9,"36042 = ""36042: BLIND HYPERTENSIVE EYE"""
80230,9,"80230 = ""80230: MANDIBLE FX NOS-OPEN"""
80239,9,"80239 = ""80239: MULT FX MANDIBLE-OPEN"""
70707,9,"70707 = ""70707: DECUBITUS ULCER"
4387,9,"4387  = ""4387 : DISTURBANCES OF VERSION (Begin 2002)"""
23875,9,"23875 = ""23875: MYELODYSPLASTIC SYND NOS (Begin 2006)"""
53340,9,"53340 = ""53340: CHR PEPTIC ULCER W HEM"""
1508,9,"1508  = ""1508 : MAL NEO ESOPHAGUS NEC"""
1974,9,"1974  = ""1974 : SEC MALIG NEO SM BOWEL"""
33182,9,"33182 = ""33182: DEMENTIA WITH LEWY BODIES"""
78003,9,"78003 = ""78003: PERSISTENT VEGATATIVE STATE (Begin 1993)"""
36613,9,"36613 = ""36613: ANT SUBCAPS SENILE CATAR"""
